Step Price ManagerIncome NbOp NbSh
 679 16.06         53.64    1    1
 680 16.06         53.64    0    0
 681 16.06         53.64    0    0
 682 16.06         53.64    0    0
 683 15.75         53.76    2    2
 684 16.30         53.86    1    1
 685 14.14         53.95    1    1
 686 13.74         53.95    1    1
 687 13.49         54.22    3    3
 688 13.49         54.22    0    0
 689 14.27         54.25    1    1
 690 14.28         54.34    1    1
 691 15.16         54.46    2    2
 692 17.73         54.54    1    1
 693 17.73         54.54    0    0
 694 17.73         54.54    0    0
 695 17.73         54.54    0    0
 696 17.73         54.54    0    0
 697 17.73         54.54    0    0
 698 17.73         54.54    0    0
 699 16.20         54.65    1    2
 700 16.24         54.66    1    1
 701 15.66         54.97    3    3
 702 15.66         54.97    0    0
 703 15.66         54.97    0    0
 704 15.66         54.97    0    0
 705 14.30         54.98    1    1
 706 14.30         54.98    0    0
 707 14.30         54.98    0    0
 708 15.86         55.22    3    3
 709 14.08         55.28    1    1
 710 13.19         55.32    1    1
 711 13.19         55.32    0    0
 712 13.19         55.32    0    0
 713 14.42         55.36    1    1
 714 14.42         55.36    0    0
 715 14.88         55.42    1    1
 716 14.88         55.42    0    0
 717 14.27         55.51    1    1
 718 14.08         55.58    1    1
 719 14.08         55.58    0    0
 720 14.08         55.58    0    0
 721 14.08         55.58    0    0
 722 14.01         55.58    1    1
 723 13.85         55.59    1    1
 724 12.76         55.74    2    2
 725 12.31         55.85    1    1
 726 12.10         56.02    2    2
 727 11.02         56.90    4    8
 728 10.57         57.06    2    3
 729 10.24         57.10    1    1
 730 10.53         57.14    2    2
 731 11.36         57.50    2    3
 732 11.65         57.67    2    2
 733 11.26         57.80    2    3
 734 11.26         57.80    0    0
 735 11.26         57.80    0    0
 736 11.26         57.80    0    0
 737 11.26         57.80    0    0
 738 11.26         57.80    0    0
 739 11.57         57.83    1    1
 740 11.57         57.83    0    0
 741 11.57         57.83    0    0
 742 11.57         57.83    0    0
 743 10.86         57.84    1    1
 744 10.50         57.87    1    1
 745 10.56         57.95    1    1
 746  9.73         58.05    2    3
 747  9.73         58.05    0    0
 748  8.91         58.11    2    2
 749  9.77         58.22    2    3
 750 10.44         58.38    2    2
 751 10.53         58.61    1    7
 752  9.31         58.64    1    1
 753  9.31         58.64    0    0
 754  9.31         58.80    3    4
 755  9.58         58.86    1    1
 756  8.95         59.06    3    3
 757  8.95         59.06    0    0
 758  8.95         59.06    0    0
 759  9.31         59.13    1    1
 760  8.59         59.16    1    1
 761  8.59         59.16    0    0
 762  8.59         59.16    0    0
 763  8.59         59.16    0    0
 764  9.22         59.20    1    1
 765  9.22         59.20    0    0
 766 10.26         59.24    1    1
 767 10.26         59.24    0    0
 768 11.48         59.29    1    1
 769 12.19         59.37    1    1
 770 12.46         59.57    1    1
 771 11.45         59.60    2    2
 772 12.09         59.69    1    1
 773 13.08         59.70    1    1
 774 12.84         59.94    5    5
 775 12.62         59.95    1    1
 776 12.69         60.07    1    1
 777 12.51         60.07    1    1
 778 12.51         60.07    0    0
 779 11.76         60.13    1    1
 780 12.47         60.17    1    2
 781 12.65         60.29    1    1
 782 12.65         60.29    0    0
 783 12.65         60.29    0    0
 784 13.68         60.33    1    1
 785 13.88         60.39    1    1
 786 13.88         60.39    0    0
 787 13.88         60.39    0    0
 788 13.88         60.39    0    0
 789 13.08         60.40    1    1
 790 12.59         60.52    1    1
 791 12.59         60.52    0    0
 792 13.63         60.53    1    1
 793 12.12         60.58    1    1
 794 12.46         60.69    3    3
 795 12.07         60.88    2    2
 796 13.09         60.96    1    2
 797 14.48         61.13    2    2
 798 14.13         61.32    1    1
 799 14.13         61.32    0    0
 800 14.13         61.32    0    0
 801 14.13         61.32    0    0
 802 12.92         61.42    3    3
 803 11.59         61.46    3    4
 804 10.15         61.55    1    1
 805 11.08         61.59    1    1
 806 11.08         61.59    0    0
 807 11.08         61.59    0    0
 808 12.51         61.67    1    1
 809 12.51         61.67    0    0
 810 12.51         61.67    0    0
 811 12.78         61.76    2    2
 812 12.64         61.91    1    1
 813 13.62         62.08    2    2
 814 13.62         62.08    0    0
 815 14.06         62.08    1    1
 816 14.97         62.14    1    1
 817 14.92         62.17    1    1
 818 14.02         62.35    1    1
 819 13.51         62.48    1    1
 820 13.51         62.48    0    0
 821 14.33         62.52    1    1
 822 14.33         62.52    0    0
 823 14.33         62.52    0    0
 824 13.06         62.68    1    1
 825 13.06         62.68    0    0
 826 13.04         62.94    1    3
 827 14.96         62.99    1    1
 828 14.96         62.99    0    0
 829 14.96         62.99    0    0
 830 15.41         63.08    1    1
 831 15.74         63.10    1    1
 832 15.81         63.31    2    2
 833 15.81         63.31    0    0
 834 17.99         63.39    1    1
 835 17.09         63.66    1    1
 836 14.86         63.70    1    1
 837 14.86         63.70    0    0
 838 14.86         63.70    0    0
 839 14.86         63.70    0    0
 840 15.04         63.75    1    1
 841 16.57         63.82    1    2
 842 16.94         63.99    1    1
 843 16.94         63.99    0    0
 844 16.94         64.22    3    3
 845 15.36         64.30    1    1
 846 15.20         64.35    1    1
 847 15.90         64.50    1    1
 848 16.15         64.56    2    2
 849 16.15         64.56    0    0
 850 16.15         64.56    0    0
 851 16.34         64.76    1    1
 852 16.34         64.76    0    0
 853 15.97         64.87    1    1
 854 16.76         64.97    1    1
 855 16.76         64.97    0    0
 856 16.16         65.21    2    2
 857 16.16         65.21    0    0
 858 17.07         65.21    1    1
 859 17.07         65.21    0    0
 860 17.07         65.21    0    0
 861 16.21         65.28    1    1
 862 16.32         65.33    1    1
 863 16.32         65.33    0    0
 864 15.66         65.42    1    1
 865 15.66         65.42    0    0
 866 15.66         65.42    0    0
 867 16.40         65.47    1    1
 868 16.40         65.47    0    0
 869 16.40         65.47    0    0
 870 16.40         65.47    0    0
 871 16.40         65.47    0    0
 872 16.98         65.54    2    2
 873 16.98         65.54    0    0
 874 17.72         65.55    1    1
 875 17.86         65.67    1    1
 876 17.86         65.67    0    0
 877 17.11         65.81    1    1
 878 16.95         65.90    1    1
 879 16.99         65.98    1    1
 880 16.10         66.07    1    1
 881 16.10         66.07    0    0
 882 15.31         66.14    2    2
 883 15.31         66.14    0    0
 884 15.31         66.14    0    0
 885 15.31         66.14    0    0
 886 15.31         66.14    0    0
 887 17.12         66.14    1    1
 888 19.11         66.15    1    1
 889 19.11         66.15    0    0
 890 19.92         66.19    1    1
 891 19.92         66.19    0    0
 892 17.14         66.32    1    1
 893 17.14         66.32    0    0
 894 17.14         66.32    0    0
 895 17.14         66.32    0    0
 896 17.14         66.32    0    0
 897 17.14         66.32    0    0
 898 18.60         66.46    1    1
 899 18.60         66.46    0    0
 900 18.12         66.58    2    2
 901 18.12         66.58    0    0
 902 18.12         66.58    0    0
 903 18.12         66.58    0    0
 904 18.12         66.58    0    0
 905 18.12         66.58    0    0
 906 18.12         66.58    0    0
 907 18.12         66.58    0    0
 908 18.12         66.58    0    0
 909 18.12         66.58    0    0
 910 18.12         66.58    0    0
 911 17.12         66.71    1    1
 912 14.87         66.76    2    2
 913 15.08         66.80    2    2
 914 14.84         66.81    1    1
 915 15.14         66.83    2    2
 916 15.14         66.83    0    0
 917 16.82         66.89    1    1
 918 16.82         66.89    0    0
 919 16.82         66.89    0    0
 920 14.21         66.91    1    1
 921 14.21         66.91    0    0
 922 14.21         66.91    0    0
